Date,Day,Confirmed Cases,Active Cases,Recovered Cases,Death Cases
30-01-2020,1,1,1,0,0
31-01-2020,2,1,1,0,0
01-02-2020,3,1,1,0,0
02-02-2020,4,2,2,0,0
03-02-2020,5,3,3,0,0
04-02-2020,6,3,3,0,0
05-02-2020,7,3,3,0,0
06-02-2020,8,3,3,0,0
07-02-2020,9,3,3,0,0
08-02-2020,10,3,3,0,0
09-02-2020,11,3,3,0,0
10-02-2020,12,3,3,0,0
11-02-2020,13,3,3,0,0
12-02-2020,14,3,3,0,0
13-02-2020,15,3,2,1,0
14-02-2020,16,3,2,1,0
15-02-2020,17,3,2,1,0
16-02-2020,18,3,1,2,0
17-02-2020,19,3,1,2,0
18-02-2020,20,3,1,2,0
19-02-2020,21,3,1,2,0
20-02-2020,22,3,0,3,0
21-02-2020,23,3,0,3,0
22-02-2020,24,3,0,3,0
23-02-2020,25,3,0,3,0
24-02-2020,26,3,0,3,0
25-02-2020,27,3,0,3,0
26-02-2020,28,3,0,3,0
27-02-2020,29,3,0,3,0
28-02-2020,30,3,0,3,0
29-02-2020,31,3,0,3,0
01-03-2020,32,3,0,3,0
02-03-2020,33,5,2,3,0
03-03-2020,34,6,3,3,0
04-03-2020,35,28,25,3,0
05-03-2020,36,30,27,3,0
06-03-2020,37,31,28,3,0
07-03-2020,38,34,31,3,0
08-03-2020,39,39,36,3,0
09-03-2020,40,48,45,3,0
10-03-2020,41,63,59,4,0
11-03-2020,42,71,67,4,0
12-03-2020,43,81,76,4,1
13-03-2020,44,91,80,10,1
14-03-2020,45,102,90,12,2
15-03-2020,46,112,97,13,2
16-03-2020,47,126,110,14,2
17-03-2020,48,146,128,15,3
18-03-2020,49,171,153,15,3
19-03-2020,50,198,174,20,4
20-03-2020,51,256,229,23,4
21-03-2020,52,334,307,23,4
22-03-2020,53,403,373,23,7
23-03-2020,54,497,463,25,9
24-03-2020,55,571,521,40,10
25-03-2020,56,657,603,43,11
26-03-2020,57,730,664,50,16
27-03-2020,58,883,789,75,19
28-03-2020,59,1019,910,85,24
29-03-2020,60,1139,1010,102,27
30-03-2020,61,1326,1148,137,41
31-03-2020,62,1635,1498,150,47
01-04-2020,63,2059,1837,169,53
02-04-2020,64,2545,2285,191,69
03-04-2020,65,3105,2792,230,83
04-04-2020,66,3684,3302,286,96
05-04-2020,67,4293,3846,329,118
06-04-2020,68,4777,4249,394,134
07-04-2020,69,5350,4720,469,161
08-04-2020,70,5915,5169,565,181
09-04-2020,71,6728,5866,635,227
10-04-2020,72,7599,6564,786,249
11-04-2020,73,8453,7191,972,290
12-04-2020,74,9211,7793,1086,332
13-04-2020,75,10454,8897,1198,359
14-04-2020,76,11485,9724,1365,396
15-04-2020,77,12371,10439,1509,423
16-04-2020,78,13432,11216,1767,449
17-04-2020,79,14354,11827,2040,487
18-04-2020,80,15275,12737,2466,522
19-04-2020,81,17305,13891,2854,560
20-04-2020,82,18544,14678,3273,593
21-04-2020,83,20081,15459,3976,646
22-04-2020,84,21373,16321,4370,682
23-04-2020,85,23040,17306,5012,722
24-04-2020,86,24448,18171,5496,781
25-04-2020,87,26283,19520,5938,825
26-04-2020,88,27890,20486,6523,881
27-04-2020,89,29458,21416,7103,939
28-04-2020,90,31360,22613,7739,1008
29-04-2020,91,33605,23557,8429,1079
30-04-2020,92,34866,24653,9059,1154
01-05-2020,93,37262,26010,10021,1231
02-05-2020,94,39826,27651,10852,1323
03-05-2020,95,42778,29552,11763,1463
04-05-2020,96,46434,32023,12845,1566
05-05-2020,97,49405,33571,14140,1694
06-05-2020,98,53007,35921,15301,1785
07-05-2020,99,56351,37686,16776,1889
08-05-2020,100,59690,39817,17887,1986
09-05-2020,101,62865,41463,19301,2101
10-05-2020,102,67176,43993,20970,2213
11-05-2020,103,70768,45925,22549,2294
12-05-2020,104,74329,47461,24454,2414
13-05-2020,105,78054,49104,26400,2550
14-05-2020,106,81996,51379,27969,2648
15-05-2020,107,85855,52858,30245,2752
16-05-2020,108,90648,53519,34257,2872
17-05-2020,109,95663,55844,36795,3024
18-05-2020,110,100326,57894,39277,3155
19-05-2020,111,106480,60870,42309,3301
20-05-2020,112,112200,63343,45422,3435
21-05-2020,113,118223,66087,48553,3583
22-05-2020,114,124793,69244,51824,3725
